===== Sheet: 前期影响雨量 (19行) =====
7月17日--20日流域各雨量站日降雨量统计表 |  |  |  |  |  |  | 
 |  |  |  |  |  | mm | 
时间 | 柳林 | 瑶曲 | 庙湾 | 马栏 | 枢纽 | 红星 | 尚书
17日17时-18日8时 | 21.7 | 42.6 | 51.3 | 44.2 | 20.4 | 22.8 | 22.8
18日8时-19日8时 | 14.5 | 20.3 | 19.7 | 18.2 | 5.5 | 9.0 | 18.2
19日8时-20日8时 |  |  |  |  |  |  | 
20日8时-21日8时 |  |  |  |  |  |  | 
合计 | 36.2 | 62.900000000000006 | 71.0 | 62.400000000000006 | 25.9 | 31.8 | 41.0
预报值 |  |  |  |  |  |  | 
 | 柳林 | 瑶曲 | 庙湾 | 枢纽 |  |  | 
各站点降雨（18日8时） | 21.7 | 42.6 | 51.3 | 20.4 |  |  | 
权重 | 0.209 | 0.282 | 0.422 | 0.087 |  |  | 
面雨量 | 39.97189999999999 |  |  |  |  |  | 
净雨深R | 1.9985949999999997 |  |  |  |  |  | 
洪水总量W=0.1RF | 165.88338499999998 |  |  |  |  |  | 
===== Sheet: Sheet2 (20行) =====
“7.22洪水”流域内各雨量站日降雨量统计表 |  |  |  |  |  |  | 
 |  |  |  |  |  | mm | 
时间 | 柳林 | 瑶曲 | 庙湾 | 马栏 | 枢纽 | 红星 | 尚书
21日19时-22日8时 | 26.3 | 29.2 | 28.7 | 54.8 | 16.4 | 15.5 | 20.8
22日8时-23日8时 | 35.9 | 77.3 | 62.1 | 54.5 | 26.2 | 21.3 | 26.3
23日8时-24日8时 |  |  |  |  |  |  | 
合计 | 62.2 | 106.5 | 90.8 | 109.3 | 42.599999999999994 | 36.8 | 47.1
“7.22洪水”预报值 |  |  |  |  |  |  | 
 | 柳林 | 瑶曲 | 庙湾 | 枢纽 |  |  | 
各站点降雨（22日14时） | 62.2 | 106.5 | 90.8 | 42.6 |  |  | 
权重 | 0.209 | 0.282 | 0.422 | 0.087 |  |  | 
面雨量 | 85.05659999999999 |  |  |  |  |  | 
净雨深R | 12.758489999999998 |  |  |  |  |  | 
洪水总量W=0.1RF | 1058.95467 |  |  |  |  |  | 
===== Sheet: Sheet5 (37行) =====
柳林断面流量统计表(“20130722”洪水) |  |  |  |  |  |  |  |  |  | 
万立米 |  |  |  |  |  |  |  |  |  | 
日期 | 报汛时间 | 库水位 | 库容 | 流量 | 平均流量 | 历时 | 时段水量 | 洪水总量 | 3日洪量 | 依据库容反推的洪量
41476.0 | 20:00:00 | 775.1 | 1230.0 | 3.3 |  |  |  |  |  | 
22日 | 08:00:00 | 775.25 | 1253.0 | 28.0 | 15.65 | 12.0 | 67.608 | 67.608 |  | 
 | 10:00:00 |  |  | 78.0 | 53.0 | 2.0 | 38.16 | 105.768 |  | 
 | 10:12:00 |  |  | 130.0 | 104.0 | 0.2 | 7.4879999999999995 | 113.256 |  | 
 | 11:00:00 | 775.61 | 1309.0 |  |  |  |  |  |  | 
 | 11:37:00 |  |  | 142.0 | 136.0 | 1.416 | 69.32736 | 182.58336 |  | 
 | 12:00:00 | 775.85 | 1350.0 | 190.0 | 166.0 | 0.384 | 22.94784 | 205.5312 |  | 
 | 12:30:00 | 776.06 | 1384.0 |  |  |  |  |  |  | 
 | 13:00:00 | 776.39 | 1434.0 |  |  |  |  |  |  | 
 | 13:30:00 |  |  | 210.0 | 200.0 | 1.5 | 108.0 | 313.5312 |  | 
 | 14:00:00 | 777.07 | 1551.0 | 182.0 | 196.0 | 0.5 | 35.28 | 348.8112 |  | 
 | 15:00:00 | 777.72 | 1660.0 | 160.0 | 171.0 | 1.0 | 61.559999999999995 | 410.3712 |  | 
 | 17:00:00 | 778.64 | 1828.0 | 150.0 | 155.0 | 2.0 | 111.6 | 521.9712 |  | 
22日 | 19:00:00 | 779.1 | 1920.0 |  |  |  |  |  |  | 
 | 20:00:00 | 779.24 | 1948.0 | 96.0 | 123.0 | 3.0 | 132.84 | 654.8112 |  | 
23日 | 08:00:00 | 780.11 | 2132.0 | 34.3 | 65.15 | 12.0 | 281.44800000000004 | 936.2592 |  | 983.0
 | 20:00:00 | 780.5 | 2210.0 | 13.4 | 23.849999999999998 | 12.0 | 103.032 | 1039.2912 |  | 
24日 | 08:00:00 | 780.75 | 2260.0 | 9.6 | 11.5 | 12.0 | 49.68 | 1088.9712 |  | 
 | 20:00:00 | 780.93 | 2296.0 | 7.12 | 8.36 | 12.0 | 36.115199999999994 | 1125.0864 |  | 1233.0
25日 | 08:00:00 |  |  | 5.88 | 6.5 | 12.0 | 28.08 | 1153.1663999999998 |  | 
 | 16:00:00 |  |  | 155.0 | 80.44 | 8.0 | 231.66719999999998 | 1384.8336 |  | 
 | 16:30:00 |  |  | 164.0 | 159.5 | 0.5 | 28.709999999999997 | 1413.5436 |  | 
 | 17:30:00 |  |  | 97.5 | 130.75 | 1.0 | 47.07 | 1460.6136 |  | 
