===== Sheet: 弃水 (72行) =====
桃曲坡水库弃水过程(20180821洪水) |  |  |  |  |  |  |  |  |  | 
日期 | 时间 | 库水位 | 库容 | 下泄流量 |  |  | 平均流量 | 历时(小时) | 泄水量 | 累计泄水量
 |  |  |  | 低洞 | 高洞 | 小计 |  |  |  | 
43334.0 | 00:30:00 | 783.52 | 2824.0 | 30.0 | 2.72 | 32.72 |  |  |  | 
 | 04:00:00 |  |  | 50.0 | 0.7 | 50.7 | 41.71 | 3.5 | 52.5546 | 52.5546
 | 05:00:00 |  |  | 80.0 | 2.5 | 82.5 | 66.6 | 1.0 | 23.975999999999996 | 76.53059999999999
 | 08:00:00 | 785.56 | 3264.0 | 80.0 | 2.5 | 82.5 | 82.5 | 3.0 | 89.1 | 165.6306
 | 14:30:00 |  |  | 50.0 | 2.5 | 52.5 | 67.5 | 6.5 | 157.95 | 323.5806
 | 15:30:00 |  |  | 50.0 | 0.45 | 50.45 | 51.475 | 1.0 | 18.531 | 342.1116
 | 19:00:00 |  |  | 30.0 | 0.45 | 30.45 | 40.45 | 3.5 | 50.967000000000006 | 393.0786
 | 20:00:00 | 785.54 | 3260.0 | 30.0 | 0.45 | 30.45 | 30.45 | 1.0 | 10.962 | 404.0406
23日 | 08:00:00 | 785.58 | 3269.0 | 30.0 | 0.45 | 30.45 | 30.45 | 12.0 | 131.54399999999998 | 535.5845999999999
 | 13:00:00 |  |  | 20.0 | 0.45 | 20.45 | 25.45 | 5.0 | 45.809999999999995 | 581.3945999999999
 | 20:00:00 | 785.5 | 3250.0 | 20.0 | 0.45 | 20.45 | 20.45 | 7.0 | 51.534 | 632.9285999999998
24日 | 08:00:00 | 785.44 | 3236.0 | 20.0 | 0.45 | 20.45 | 20.45 | 12.0 | 88.344 | 721.2725999999998
 | 09:30:00 |  |  | 15.0 |  | 15.0 | 17.725 | 1.5 | 9.5715 | 730.8440999999998
 | 20:00:00 | 785.4 | 3226.0 | 15.0 |  | 15.0 | 15.0 | 10.5 | 56.699999999999996 | 787.5440999999998
25日 | 08:00:00 | 785.35 | 3214.0 | 15.0 |  | 15.0 | 15.0 | 12.0 | 64.8 | 852.3440999999998
 | 09:00:00 |  |  | 10.0 |  | 10.0 | 12.5 | 1.0 | 4.5 | 856.8440999999998
 | 20:00:00 |  |  | 10.0 |  | 10.0 | 10.0 | 11.0 | 39.6 | 896.4440999999998
26日 | 08:00:00 |  |  | 10.0 |  | 10.0 | 10.0 | 12.0 | 43.199999999999996 | 939.6440999999999
 | 20:00:00 |  |  | 10.0 |  | 10.0 | 10.0 | 12.0 | 43.199999999999996 | 982.8440999999999
27日 | 08:00:00 |  |  | 10.0 |  | 10.0 | 10.0 | 12.0 | 43.199999999999996 | 1026.0440999999998
 | 10:30:00 |  |  | 6.0 |  | 6.0 | 8.0 | 2.5 | 7.199999999999999 | 1033.2441
 | 20:00:00 |  |  | 6.0 |  | 6.0 | 6.0 | 9.5 | 20.52 | 1053.7640999999999
28日 | 08:00:00 |  |  | 6.0 |  | 6.0 | 6.0 | 12.0 | 25.919999999999998 | 1079.6841
 | 20:00:00 |  |  | 6.0 |  | 6.0 | 6.0 | 12.0 | 25.919999999999998 | 1105.6041
29日 | 1900-01-01 08:00:00 |  |  | 6.0 |  | 6.0 | 6.0 | 12.0 | 25.919999999999998 | 1131.5241
 | 1900-01-01 20:00:00 |  |  | 6.0 |  | 6.0 | 6.0 | 12.0 | 25.919999999999998 | 1157.4441000000002
30日 | 08:00:00 |  |  | 6.0 |  | 6.0 | 6.0 | 12.0 | 25.919999999999998 | 1183.3641000000002
 | 20:00:00 |  |  | 6.0 |  | 6.0 | 6.0 | 12.0 | 25.919999999999998 | 1209.2841000000003
31日 | 1900-01-01 08:00:00 |  |  | 6.0 |  | 6.0 | 6.0 | 12.0 | 25.919999999999998 | 1235.2041000000004
 | 09:30:00 |  |  | 6.0 |  | 6.0 | 6.0 | 1.5 | 3.2399999999999998 | 1238.4441000000004
备注：后期部分弃水用于河道生态补水。 |  |  |  |  |  |  |  |  |  | 
桃曲坡水库弃水过程(9月) |  |  |  |  |  |  |  |  |  | 
日期 | 时间 | 下泄流量 | 平均流量 | 历时(小时) | 泄水量 | 累计泄水量 |  |  |  | 
 |  | 低洞 |  |  |  |  |  |  |  | 
43356.0 | 08:00:00 | 5.0 |  |  |  |  |  |  |  | 
17.0 | 08:00:00 | 5.0 | 5.0 | 96.0 | 172.79999999999998 | 172.79999999999998 |  |  |  | 
 | 20:00:00 | 2.0 | 3.5 | 12.0 | 15.12 | 187.92 |  |  |  | 
18.0 | 08:00:00 | 2.0 | 2.0 | 12.0 | 8.64 | 196.56 |  |  |  | 
 | 15:30:00 | 2.0 | 2.0 | 7.5 | 5.3999999999999995 | 201.96 |  |  |  | 
43364.0 | 08:00:00 | 4.0 |  |  |  |  |  |  |  | 
 | 20:00:00 | 4.0 | 4.0 | 12.0 | 17.28 | 17.28 |  |  |  | 
22.0 | 08:00:00 | 2.0 | 3.0 | 12.0 | 12.959999999999999 | 30.240000000000002 |  |  |  | 
30.0 | 09:00:00 | 2.0 | 2.0 | 193.0 | 138.96 | 169.20000000000002 |  |  |  | 
 |  |  |  |  |  |  |  | 1609.6041000000005 |  | 
备注：后期部分弃水用于河道生态补水。 |  |  |  |  |  |  |  |  |  | 
