===== Sheet: Sheet1 (111行) =====
20100724洪水水文要素摘录表 |  | 
日期 | 报汛时间 | 流量
7.22 | 20:00:00 | 1.41
7.23 | 01:00:00 | 20.2
 | 02:00:00 | 15.4
 | 08:00:00 | 2.42
 | 14:00:00 | 7.12
 | 20:00:00 | 37.4
 | 21:00:00 | 106.0
 | 22:00:00 | 174.0
 | 23:00:00 | 243.0
7.24 | 00:00:00 | 310.0
 | 01:00:00 | 380.0
 | 01:40:00 | 600.0
 | 01:42:00 | 1100.0
 | 02:00:00 | 1070.0
 | 03:11:00 | 958.0
 | 04:00:00 | 300.0
 | 05:50:00 | 220.0
 | 06:00:00 | 220.0
 | 08:00:00 | 163.0
 | 12:00:00 | 170.0
 | 15:00:00 | 158.0
 | 18:00:00 | 110.0
 | 20:00:00 | 80.0
 | 21:00:00 | 76.6
 | 23:00:00 | 75.0
7.25 | 00:00:00 | 70.0
 | 03:00:00 | 70.0
 | 05:00:00 | 68.0
 | 06:00:00 | 66.0
 | 08:00:00 | 50.0
 | 09:00:00 | 36.0
 | 11:00:00 | 36.0
 | 14:00:00 | 22.0
 | 20:00:00 | 12.0
7.26 | 08:00:00 | 9.42
20030829洪水水文要素摘录表 |  | 
日期 | 报汛时间 | 流量
8.28 | 08:00:00 | 17.2
 | 13:18:00 | 16.4
 | 18:00:00 | 40.3
 | 18:24:00 | 78.7
 | 20:00:00 | 140.2
 | 20:12:00 | 145.1
 | 21:00:00 | 140.2
 | 21:30:00 | 125.5
 | 22:00:00 | 118.1
8.29 | 02:00:00 | 95.9
 | 08:00:00 | 153.8
 | 08:42:00 | 183.3
 | 13:00:00 | 177.1
 | 13:18:00 | 177.1
 | 14:00:00 | 196.8
 | 15:30:00 | 252.2
 | 16:00:00 | 303.8
 | 17:00:00 | 327.2
 | 18:30:00 | 196.8
 | 20:00:00 | 179.6
 | 22:00:00 | 111.9
 | 22:30:00 | 103.3
 | 23:00:00 | 95.9
8.3 | 00:30:00 | 86.1
 | 02:00:00 | 145.1
 | 02:36:00 | 175.9
 | 03:12:00 | 169.7
 | 04:00:00 | 162.4
 | 05:00:00 | 152.5
 | 06:00:00 | 136.5
 | 08:00:00 | 104.6
 | 10:00:00 | 71.3
 | 11:00:00 | 71.3
 | 12:00:00 | 71.3
 | 12:30:00 | 91.8
 | 13:00:00 | 91.8
 | 14:00:00 | 91.8
 | 15:00:00 | 61.5
 | 16:00:00 | 61.5
 | 18:00:00 | 61.5
 | 21:00:00 | 87.5
 | 23:00:00 | 
 | 00:00:00 | 
8.31 | 02:00:00 | 
 | 03:00:00 | 76.4
 | 04:00:00 | 
 | 05:00:00 | 
 | 06:00:00 | 
 | 07:00:00 | 
 | 08:00:00 | 
 | 09:00:00 | 55.4
 | 15:00:00 | 43.9
 | 18:00:00 | 55.9
 | 21:00:00 | 67.8
9.1 | 03:00:00 | 73.8
 | 08:00:00 | 66.4
 | 12:00:00 | 35.8
 | 14:00:00 | 35.7
 | 16:00:00 | 35.7
 | 18:00:00 | 34.4
9.2 | 02:00:00 | 27.8
 | 08:00:00 | 22.9
===== Sheet: Sheet2 (0行) =====
===== Sheet: Sheet3 (0行) =====
