===== Sheet: Sheet2 (20行) =====
续表7：                                           水库水位面积、库容、泄量关系 |  |  |  |  |  |  |  | 
水库名称代码 | 资料生成日期 | 水位 | 面积 | 库容 | 正常溢洪道总泄量 | 非常溢洪道总泄量 | 洞（管）总泄量 | 发电引用流量
ennmcd | inprdt | wtlv | ar | rscp | nrsottds | exsottds | hlppttds | gnqufl
（1）“水库名称代码”+“资料生成日期”+“水位”唯一标识某水库于某日期前的一个水位。 | （2）“资料生成日期”，指本条记录的实际产生日期。 | （3）本水库的任意一个水位，或某个特征水位 | 对应某个水位时的水库水面面积 | 对应某个水位时的水库库容 | 对应某个水位时所有正常溢洪道全部打开时的泄量 | 对应某个水位时所有非常溢洪道全部打开时的泄量 | 对应某个水位时除了发电引用流量以外，所有洞（管）全部打开时的泄量 | 对应某个水位时全部发电机组投入运行时的引用流量
BDC23000223 | 35765.0 | 783.5 | 2.08 | 28.2 | 0.0 | 无 | 100.0 | 无
 |  | 784.0 | 2.14 | 29.2 | 72.0 |  | 100.0 | 
 |  | 784.5 | 2.17 | 30.2 | 144.0 |  | 100.0 | 
 |  | 785.0 | 2.2 | 31.3 | 247.0 |  | 100.0 | 
 |  | 785.5 | 2.23 | 32.5 | 350.0 |  | 100.0 | 
 |  | 786.0 | 2.27 | 33.7 | 500.0 |  | 100.0 | 
 |  | 786.5 | 2.3 | 34.85 | 650.0 |  | 100.0 | 
 |  | 787.0 | 2.33 | 36.0 | 820.0 |  | 100.0 | 
 |  | 787.5 | 2.35 | 37.19 | 990.0 |  | 100.0 | 
 |  | 788.0 | 2.38 | 38.38 | 1200.0 |  | 100.0 | 
 |  | 788.5 | 2.4 | 39.49 | 1410.0 |  | 100.0 | 
 |  | 789.0 | 2.42 | 40.6 | 1630.0 |  | 100.0 | 
 |  | 789.5 | 2.43 | 41.75 | 1850.0 |  | 100.0 | 
 |  | 790.0 | 2.44 | 42.9 | 2042.0 |  | 100.0 | 
 |  | 790.5 | 2.45 | 44.2 | 2234.0 |  | 100.0 | 
 |  | 791.0 | 2.47 | 45.6 |  |  |  | 
