===== Sheet: Sheet1 (24行) =====
桃曲坡水库历年弃水量统计表 |  |  |  |  |  | 桃曲坡水库历年逐月弃水量统计表 |  |  |  |  |  |  |  |  |  |  |  |  | 
年份 | 弃水量（万立米） | 年最高蓄水位（米） | 最大下泄流量（m3/s） | 时长 |  | 年份 | 弃水量（万立米） |  |  |  |  |  |  |  |  |  |  |  | 小计
 |  |  |  |  |  |  | 1月 | 2月 | 3月 | 4月 | 5月 | 6月 | 7月 | 8月 | 9月 | 10月 | 11月 | 12月 | 
1981.0 | 6879.0 |  |  |  |  | 1981.0 |  |  |  |  |  |  |  |  |  |  |  |  | 6879.0
1983.0 | 19225.0 |  |  |  |  | 1983.0 |  |  |  |  |  |  |  |  |  |  |  |  | 19225.0
1984.0 | 7628.0 |  |  |  |  | 1984.0 |  |  |  |  |  |  |  |  |  |  |  |  | 7628.0
1988.0 | 8745.0 |  |  |  |  | 1988.0 |  |  |  |  |  |  |  |  |  |  |  |  | 8745.0
2003.0 | 10496.0 | 789.07（10月27日） | 200.0 |  |  | 2003.0 |  |  |  |  |  |  |  | 1572.0 | 3386.0 | 3066.0 | 2472.0 |  | 10496.0
2007.0 | 840.0 | 789.03（10月28日） |  |  |  | 2007.0 |  |  |  |  |  |  |  |  |  | 690.0 | 150.0 |  | 840.0
2010.0 | 6648.0 | 789.02（10月2日） |  |  |  | 2010.0 |  |  |  |  |  |  | 131.0 | 4926.5 |  | 890.5 | 700.0 |  | 6648.0
2011.0 | 10561.0 | 789.04（11月30日） |  |  |  | 2011.0 |  |  |  |  |  |  |  |  | 6699.0 | 2144.0 | 1183.0 | 535.0 | 10561.0
2012.0 | 73.0 | 788.94（1月15日） | 0.4 | 21天 |  | 2012.0 | 73.0 |  |  |  |  |  |  |  |  |  |  |  | 73.0
2013.0 | 167.0 | 785.18（8月9日） | 30.0 | 3小时 |  | 2013.0 |  |  |  |  |  |  | 167.0 |  |  |  |  |  | 167.0
2017.0 | 237.0 | 788.72（11月30日） | 3.5 | 5天12小时 |  | 2017.0 |  |  |  |  |  |  |  |  |  | 237.0 |  |  | 237.0
2018.0 | 1610.0 | 787.60（10月31日） | 82.5 | 3小时 |  | 2018.0 |  |  |  |  |  |  |  | 1238.0 |  | 372.0 |  |  | 1610.0
2019.0 | 390.0 | 788.81（11月22日） | 10.49 | 6小时 |  | 2019.0 |  |  |  |  |  |  |  |  | 23.0 | 367.0 |  |  | 390.0
2020.0 | 1250.0 | 8月份弃水及泄洪共3次 | 30.87 | 22小时 |  | 2020.0 |  |  |  |  |  |  |  | 1250.0 |  |  |  |  | 1250.0
2021.0 | 11049.0 |  | 180.0 | 31.5小时 | 10.5.11:30-10.6.19:00 | 2021.0 |  |  |  |  |  |  |  |  | 2652.0 | 8397.0 |  |  | 11049.0
2022.0 |  |  |  |  |  | 2023.0 |  |  |  |  |  |  | 16.0 | 835.18 | 293.7600000000001 | 343.08 |  |  | 1488.02
2023.0 | 1488.0 | 7月-10月共弃水3次，累计68天 | 12.0 | 36小时 |  | 2025.0 |  |  |  |  |  |  |  |  |  | 1437.0 | 473.0 |  | 1910.0
2025.0 | 1910.0 | 10-11月弃水 | 27.0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
合计 | 89196.0 |  |  |  |  | 合计 |  |  |  |  |  |  |  |  |  |  |  |  | 89196.02
平均值 | 2027.1818181818182 |  |  |  |  | 平均 |  |  |  |  |  |  |  |  |  |  |  |  | 2027.182272727273
备注：2003年全年水库下泄水量10496万m3,其中8月份下泄水量1572万m3，9月份下泄水量3386万m3，10月份下泄水量3066万m3，11月份下泄水量 2472 万m3。2007年全年水库下泄水量840万m3,其中10月份690万m3；11月份150万m3。2010年7.24至8月泄洪弃水5057.5万m3，10-11月溢流1590.5万m3。2011年水库弃水9401，溢流1160。2013年7月低洞泄洪弃水167。2014-2016无洪水发生也无弃水,2017年10月蓄水位接近汛限水位，低洞弃水。2018年8月高低洞泄洪弃水1238m3，10月蓄水位接近汛限水位，低洞弃水372m3。2019年9月一次小洪水弃水23万、10月蓄水位接近汛限水位，低洞弃水367m3。2021年9月2次洪水、10月1次洪水，溢洪道弃水2066万方，低洞弃水8983万方。2022年无弃水及洪水泄洪，2023年7月-10月共弃水3次，累计68天。 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
