===== Sheet: 下泄水量 (39行) =====
2021年9月-10月桃曲坡水库泄水期间生态水量计算表
                                              单位：m3/s  万m3 |  |  |  |  |  |  |  |  | 
月 | 日 | 时间 | 低洞泄流量 | 平均流量 | 历时 | 泄水量 | 累计泄水量 | 月生态水量 | 备注
9月 | 16.0 | 16:30:00 | 10.0 |  |  |  |  | 15.012 | 
 |  | 19:00:00 | 10.0 | 10.0 | 2.5 | 9.0 | 9.0 |  | 
 | 25.0 | 19:00:00 | 10.0 |  |  |  |  |  | 
 |  | 20:40:00 | 10.0 | 10.0 | 1.67 | 6.012 | 6.012 |  | 
10月 | 12.0 | 21:00:00 | 10.0 |  |  |  |  | 1090.8 | 
 | 18.0 | 08:00:00 | 10.0 | 10.0 | 131.0 | 471.59999999999997 | 471.59999999999997 |  | 
 | 22.0 | 08:00:00 | 10.0 | 10.0 | 72.0 | 259.2 | 730.8 |  | 
 | 26.0 | 12:00:00 | 10.0 | 10.0 | 100.0 | 360.0 | 1090.8 |  | 关闭低洞
2021年11月份桃曲坡水库溢洪道溢流计算表
                            单位：m3/s  万m3 |  |  |  |  |  |  |  |  | 
日期 | 时间 | 库水位 | 入库流量 | 溢洪道溢流量 | 平均溢流量 | 历时(小时) | 泄水量 | 累计泄水量 | 月生态水量
44502.0 | 20:00:00 | 788.75 | 8.0 | 1.5 |  |  |  |  | 640.4399999999998
44503.0 | 08:00:00 | 789.05 | 8.0 | 6.0 | 3.75 | 12.0 | 16.2 | 16.2 | 
 | 20:00:00 | 789.06 | 8.0 | 6.0 | 6.0 | 12.0 | 25.919999999999998 | 42.12 | 
44504.0 | 08:00:00 | 789.08 | 8.0 | 6.0 | 6.0 | 12.0 | 25.919999999999998 | 68.03999999999999 | 
 | 20:00:00 | 789.08 | 6.0 | 5.0 | 5.5 | 12.0 | 23.759999999999998 | 91.79999999999998 | 
44505.0 | 08:00:00 | 789.06 | 5.0 | 4.0 | 4.5 | 12.0 | 19.439999999999998 | 111.23999999999998 | 
44507.0 | 20:00:00 | 789.02 | 4.5 | 3.5 | 3.75 | 60.0 | 81.0 | 192.23999999999998 | 
44508.0 | 08:00:00 | 789.02 | 4.5 | 3.5 | 3.5 | 12.0 | 15.12 | 207.35999999999999 | 
 | 20:00:00 | 789.03 | 4.5 | 3.5 | 3.5 | 12.0 | 15.12 | 222.48 | 
44509.0 | 08:00:00 | 789.03 | 4.5 | 3.5 | 3.5 | 12.0 | 15.12 | 237.6 | 
44510.0 | 08:00:00 | 789.02 | 4.5 | 3.5 | 3.5 | 24.0 | 30.24 | 267.84 | 
44511.0 | 08:00:00 | 789.01 | 4.0 | 3.0 | 3.25 | 24.0 | 28.08 | 295.91999999999996 | 
44512.0 | 08:00:00 | 789.0 | 4.0 | 3.0 | 3.0 | 24.0 | 25.919999999999998 | 321.84 | 
44513.0 | 20:00:00 | 789.01 | 3.5 | 2.5 | 2.75 | 36.0 | 35.64 | 357.47999999999996 | 
44514.0 | 08:00:00 | 789.01 | 3.5 | 2.5 | 2.5 | 12.0 | 10.799999999999999 | 368.28 | 
44515.0 | 20:00:00 | 788.99 | 3.2 | 2.5 | 2.5 | 36.0 | 32.4 | 400.67999999999995 | 
44516.0 | 08:00:00 | 788.99 | 3.1 | 2.5 | 2.5 | 12.0 | 10.799999999999999 | 411.47999999999996 | 
44517.0 | 08:00:00 | 788.98 | 3.1 | 2.5 | 2.5 | 24.0 | 21.599999999999998 | 433.08 | 
 | 20:00:00 | 788.98 | 2.8 | 2.0 | 2.25 | 12.0 | 9.719999999999999 | 442.79999999999995 | 
44518.0 | 08:00:00 | 788.98 | 2.8 | 2.0 | 2.0 | 12.0 | 8.64 | 451.43999999999994 | 
44522.0 | 20:00:00 |  |  | 2.0 | 2.0 | 108.0 | 77.75999999999999 | 529.1999999999999 | 
44523.0 | 08:00:00 |  |  | 1.5 | 1.75 | 12.0 | 7.56 | 536.7599999999999 | 
44531.0 | 08:00:00 |  |  | 1.5 | 1.5 | 192.0 | 103.67999999999999 | 640.4399999999998 | 
 |  |  |  |  |  | 9-11月共计泄水 |  | 1746.2519999999997 | 
