===== Sheet: Sheet1 (55行) =====
桃曲坡水库流域较大洪水统计表 |  |  |  |  |  |  |  |  |  |  |  |  |  | 
序号 | 洪水 | 年份 | 洪峰流量(m3/s) | 洪水总量 | 备  注 |  |  |  |  |  |  |  |  | 
 | 编号 |  |  | 最大一日/最大三日(万m3) |  | 累计调蓄洪水总量 |  | 弃洪量 |  |  |  |  |  | 
1.0 |  | 1867.0 | 最大 |  | 历时调查洪水,200年一遇 |  |  |  |  |  |  |  |  | 
2.0 |  | 1932.0 | 2110.0 |  | 100年一遇 |  |  |  |  |  |  |  |  | 
3.0 |  | 1930.0 | <2110 |  | 67年一遇 |  |  |  |  |  |  |  |  | 
 |  |  | >1030 |  |  |  |  |  |  |  |  |  |  | 
4.0 | 540817 | 1954.0 | 199.0 | 619/1146 | 以下均为实测洪水资料 |  |  |  |  |  |  |  |  | 
5.0 | 580423 | 1958.0 | 275.0 | 457/983 |  |  |  |  |  |  |  |  |  | 
6.0 |  | 1960.0 | 804.0 | 646/718 |  |  |  |  |  |  |  |  |  | 
7.0 | 640525 | 1964.0 | 118.0 | 773/1626 |  |  |  |  |  |  |  |  |  | 
8.0 | 650721 | 1965.0 | 148.0 | 311/395 |  |  |  |  |  |  |  |  |  | 
9.0 | 690821 | 1969.0 | 508.0 | 727/802 |  |  |  |  |  |  |  |  |  | 
10.0 | 700805 | 1970.0 | 1030.0 | 1070/1149 | 苏家店断面 |  |  |  |  |  |  |  |  | 
11.0 | 710821 | 1971.0 | 141.0 | 266/327 |  |  |  |  |  |  |  |  |  | 
12.0 | 720804.0 | 1972.0 | 176.0 | 78/93 |  |  |  |  |  |  |  |  |  | 
13.0 |  | 1973.0 | 112.0 | 350/668 |  |  |  |  |  |  |  |  |  | 
14.0 | 740718.0 | 1974.0 | 438.0 | 167/201 |  |  |  |  |  |  |  |  |  | 
15.0 | 750729 | 1975.0 | 423.0 | 811/2068 |  |  |  |  |  |  |  |  |  | 
16.0 | 760825 | 1976.0 | 261.0 | 1658/3521 |  |  |  |  |  |  |  |  |  | 
